lema,causativo_lexico,tipo_alternancia,pareja_supletiva,aktionsart_base,predicado_base,toma_se_anticausativo,notas
llenar,True,anticausativo_deriv,,Accomplishment,lleno'/full',True,"REVISADO:  ES causativo β=Accomplishment; con Estructura Lógica: [do'(x, Ø)] CAUSE [BECOME full'(y)]."
vaciar,True,anticausativo_deriv,,Accomplishment,vacío'/empty',True,"REVISADO:  ES causativo β=Accomplishment; con Estructura Lógica: [do'(x, Ø)] CAUSE [BECOME empty'(y)]."
inflar,True,anticausativo_deriv,,Accomplishment,inflado',True,
envenenar,True,anticausativo_deriv,,Accomplishment,envenenado',True,'se envenenó' puede ser reflexivo intencional; genuinamente ambiguo
curar,True,anticausativo_deriv,,Accomplishment,curado'/sano',True,semilla Accomplishment; 'el médico curó / la herida se curó'
sanar,True,labil,,Accomplishment,sano',False,'la herida sanó' lábil sin se; semilla Accomplishment
cansar,True,anticausativo_deriv,,State,cansado',True,psicológico/condición: β = estado ('se cansó' REVISADO: es State
asustar,True,anticausativo_deriv,,State,asustado'/afraid',True,"psych-causativo: [do'(x,∅)] CAUSE [feel'(y,[asustado'])]; REVISADO:  es State"
alegrar,True,anticausativo_deriv,,State,alegre'/contento',True,"psych-causativo: [do'(x,∅)] CAUSE [feel'(y,[asustado'])]; REVISADO:  es State"
entristecer,True,anticausativo_deriv,,State,triste',True,"psych-causativo: [do'(x,∅)] CAUSE [feel'(y,[asustado'])]; REVISADO:  es State"
confundir,True,anticausativo_deriv,,State,confundido',True,"psych-causativo: [do'(x,∅)] CAUSE [feel'(y,[asustado'])]; REVISADO:  es State"
iluminar,True,anticausativo_deriv,,Achievement,iluminado',True,'la sala se iluminó'; REVISAR ¿State o Achievement?
dormir,True,labil,,State,dormido'/asleep',False,"causativo lábil ('durmió al bebé'); 'se durmió' es INCOATIVO ASPECTUAL, no anticausativo; REVISADO: actúa como anticausativos/reflexivo-incoativos, no como meras construcciones del ""se"" aspectual aktionsart_base (¿State o Activity?)"
rodar,True,labil,,Activity,rodar',False,causativo de movimiento marginal ('rodó la pelota'); β Activity (semilla)
pasear,True,labil,,Activity,pasear',False,'paseó al perro'; con camino/medida β=Active_Accomplishment; no está en semilla
destellar,True,-,,Semelfactive,destello',False,REVISADO: se  mantiene. Es Semelfactivo Causativo prototípico
sacudir,True,-,,Semelfactive,,False,NO causativo-anticausativo: 'se sacudió' es se MEDIO/reflexivo sin cambio de estado → gate Semelfactive (4D); semilla Semelfactive
agitar,True,-,,Semelfactive,,False,"ídem sacudir: 'se agitó' medio, sin resultado → gate 4D"
chasquear,True,-,,Semelfactive,,False,'chasqueó los dedos'; transitivo NO causativo (el OD no cambia de estado)
