categoria,termino,definicion
Participantes,Undergoer (Padecedor),"Macropapel del participante afectado por la situación."
Participantes,NMR,"Argumento central sin macropapel: el dativo español ('a María' en 'le dio flores a María')."
Participantes,PSA,"Argumento Sintáctico Privilegiado: el que la sintaxis trata como sujeto (concordancia)."
Participantes,Efectuador,"El que hace la acción (primer argumento de do')."
Participantes,Tema,"Lo transferido/movido/poseído SIN cambio interno (segundo argumento de have' etc.)."
Participantes,Paciente,"El que sufre el cambio de estado (argumento único de pred'(x))."
Participantes,Poseedor,"El que pasa a tener algo (primer argumento de have') — el receptor de una transferencia."
Participantes,x / y / z,"Variables de la EL formal asignadas por posición semántica; z sólo aparece en plantillas compuestas con tres participantes."
Participantes,x(morf) / '3sg',"Argumento realizado solo en la morfología: sujeto pro-drop o clítico sin sintagma pleno."
Árbol sintáctico,SENTENCE/CLAUSE/CORE/NUC,"Los estratos de la cláusula RRG: oración > cláusula > centro > núcleo."
Árbol sintáctico,-PERI,"Marca de periferia: adjunto que modifica al estrato del que cuelga (aspectuales→NUC; manera/locativo/temporal/frecuencia→CORE; razón/concesión/condición/epistémico→CLAUSE)."
Árbol sintáctico,AGX,"Índice de concordancia bajo el núcleo: ahí se enlazan los clíticos (le/les/se) y la concordancia verbal."
Árbol sintáctico,PrDP / LDP,"Posición dislocada izquierda: elemento inicial destacado ('Ayer, ...')."
Árbol sintáctico,PrCS,"Posición precentral: pronombres interrogativos (qué quién cómo)."
Árbol sintáctico,PP / NP / ADVP,"Frase preposicional / nominal / adverbial."
Análisis,wrapper,"Predicado que envuelve la EL para un adjunto: be-in'(parque [EL]) for'(tres horas [EL]) yesterday'([EL])."
Análisis,gate / corrección,"Regla estructural que corrige la clase del clasificador con evidencia sintáctica (p.ej. objeto sin determinante → Actividad)."
Análisis,coerción,"Cambio de lectura aspectual forzado por el contexto ('tosió durante una hora' → actividad iterada)."
Análisis,Integridad (Completeness),"Chequeo de que todo argumento de la EL aparece en el árbol y viceversa (Restricción de Integridad de la RRG)."
Análisis,método léxico/contextual,"De dónde salió la clasificación: solo el verbo (léxico) o el verbo en su oración (contextual)."
Análisis,complejo verbal,"El verbo + sus clíticos + el núcleo del objeto: la unidad que lee el clasificador."
Análisis,transferencia/benefactiva/comunicación,"Las tres plantillas ditransitivas: dar (X pasa a Y) / comprar-hacer (obtiene X para Y) / decir (expresa X a Y)."
Notación de gruxx,x(morf),"El argumento x está realizado solo en la morfología del verbo (no hay sintagma): sujeto pro-drop o clítico solo."
Notación de gruxx,pro-drop,"Sujeto omitido recuperado de la terminación verbal: 'estudié' → x = 1sg."
Notación de gruxx,1sg / 3sg / 3pl,"Etiquetas de persona y número: 1ª singular, 3ª singular, 3ª plural (de los rasgos morfológicos)."
Notación de gruxx,"x:Juan,nsubj,Actor","Formato de los argumentos: variable : palabra , función sintáctica UD , papel semántico."
Notación de gruxx,nsubj / obj / obl:arg,"Funciones sintácticas UD: sujeto / objeto directo / argumento oblicuo (el dativo español)."
Notación de gruxx,PERI@NUC / PERI@CORE / PERI@CLAUSE,"Dónde ancla la periferia en el árbol: al núcleo (aspectuales), al centro (manera/locativo/marco temporal/frecuencia) o a la cláusula (razón/concesión/condición/epistémico)."
Notación de gruxx,↔,"En la línea de Integridad: correspondencia verificada entre un elemento de la EL y un constituyente del árbol."
Notación de gruxx,conf,"Abreviatura de confianza de la clasificación (0-1)."
Notación de gruxx,metodo lexical/contextual,"Cómo se clasificó: 'lexical' = solo el verbo; 'contextual' = el verbo dentro de su oración (embeddings del complejo verbal)."
Notación de gruxx,complejo={...},"Los tokens que forman el complejo verbal leído por el clasificador (verbo + clíticos + núcleo del objeto), con su posición."
Notación de gruxx,gate=...,"Corrección estructural aplicada tras el clasificador; el texto indica la regla y la clase resultante (ver 'gate / corrección')."
Notación de gruxx,coercion=...,"Cambio de lectura aspectual forzado por el contexto detectado (ver 'coerción')."
Notación de gruxx,ditrans=...,"Plantilla ditransitiva aplicada y su fuente (léxico curado o default)."
Notación de gruxx,P1…P5 (pruebas),"Las pruebas de clase aspectual de Van Valin detectadas en la oración: P1 progresivo, P2 adverbio dinámico, P3 adverbio de ritmo, P4 expresión durativa ('durante X'), P5 expresión de término ('en X tiempo')."
Notación de gruxx,CAUSE[...],"Causatividad detectada: tipo (léxico/heurístico) y confianza."
Notación de gruxx,fuente=correccion_usuario,"Marca de una entrada añadida a un léxico por el bucle de corrección (auditable y reversible)."
Notación de gruxx,revisar=True,"Fila de un archivo curado marcada como dudosa: se excluye del entrenamiento hasta que Julian la revise."
Operadores,operador,"Categoría gramatical cerrada (tiempo, aspecto, modalidad, fuerza ilocutiva…) que modifica un estrato de la cláusula; no es un nodo del árbol sino parte de su propia proyección."
Operadores,⟨ ⟩,"Corchetes angulares: encierran los operadores y su alcance sobre la EL: ⟨IF DEC ⟨TNS PAST ⟨EL⟩⟩⟩. Los operadores sin especificar se omiten."
Operadores,proyección de operadores,"Estructura en espejo de la proyección de constituyentes; ambas convergen únicamente en el núcleo (V). Los nucleares van pegados a la raíz verbal, los clausulares al extremo."
Operadores,IF,"Fuerza ilocutiva (clausular): tipo de acto de habla. Valores: DEC declarativa, INT interrogativa, IMP imperativa."
Operadores,TNS,"Tiempo (clausular). Valores: PAST pasado, PRES presente, FUT futuro. El imperfecto español = TNS PAST + ASP IMPF."
Operadores,ASP,"Aspecto (nuclear). Valores: PERF perfecto ('ha llorado'), PROG progresivo ('está llorando'), IMPF imperfectivo ('lloraba'). Combinables: PERF PROG."
Operadores,NEG,"Negación ('no'). Puede ser nuclear o interna según su alcance (sin subtipo por ahora)."
Operadores,MOD,"Modalidad deóntica (central): obligación, habilidad, permiso. Valores: OBLG ('debe…'), ABIL ('puede…')."
Operadores,STA,"Estatus / modalidad epistémica (clausular): real vs irreal. Valor: IRR (subjuntivo, condicional, 'quizá…'); REAL se omite por defecto."
Operadores,estrato del operador,"Nivel que modifica: nuclear (ASP, NEG nuclear), central (MOD), clausular (STA, TNS, IF). Determina su posición en el anidamiento y su cercanía morfológica a la raíz verbal."
Linking,AUH (jerarquía Actor-Padecedor),"Escala de 5 posiciones que ordena los argumentos de la EL de más a menos agentivo: arg. de DO > 1er arg. de do' > 1er arg. de pred'(x,y) > 2º arg. de pred'(x,y) > arg. de estado pred'(x). Decide Actor (el de rango más alto) y Undergoer (el de rango más bajo)."
Linking,arg. de DO / 1er arg. de do',"Las dos posiciones MÁS ALTAS de la AUH: el argumento de un DO complejo (raro) y el primer argumento de una actividad do'(x,…) — el 'efector' de la acción."
Linking,1er / 2º arg. de pred'(x·y),"Posiciones intermedias de la AUH: los dos argumentos de un predicado relacional de dos lugares (saber, tener, have'…) que NO está bajo do'."
Linking,arg. de estado pred'(x),"La posición MÁS BAJA de la AUH: el único argumento de un predicado de un lugar (roto', consumed'…) — el paciente por defecto."
Linking,M-transitivo / M-transitividad,"Número de macropapeles (Actor/Undergoer) que tiene la oración: transitivo=2, intransitivo=1, atransitivo=0."
Linking,atransitivo,"Verbo sin ningún macropapel (M-transitividad 0): los impersonales tipo 'llueve', sin argumento semántico ni PSA."
Linking,caso (nominativo/acusativo/dativo),"El caso esperado según la codificación del linking: nominativo el PSA, acusativo el macropapel que no es PSA, dativo ('a') el NMR."
Linking,oblicuo,"Argumento NMR que no es dativo sino locativo ('en la biblioteca'): no compite por macropapel, igual que el dativo, pero no lleva 'a'."
Linking,concordancia,"El PSA rige la concordancia verbal (persona/número): el linking la verifica comparando el PSA contra el verbo FINITO, no el participio/gerundio."
Linking,traza del linking,"Los 5 pasos de la dirección de producción (EL seleccionada → macropapeles → codificación → plantilla sintáctica → asignación), numerados en --verbose y en el panel Linking de la GUI."
Linking,producción vs comprensión,"Comprensión = de la sintaxis a la semántica (lo que gruxx hace en el resto del análisis); producción = de la EL a la sintaxis (los 5 pasos del linking) — aquí se usa como RE-DERIVACIÓN VERIFICADORA (round-trip), no para generar oraciones."
Linking,round-trip,"Verificación bidireccional: desde la EL ya analizada se re-deriva qué debería haber en el árbol (nº de argumentos, PSA+concordancia, AGX) y se compara contra el árbol real — checks 'linking_*' en la línea de Integridad."
