id,lema,oracion,clase,stat,dyn,tel,pun,transitivo,pronominal,fuente,revisar
86,latir,El corazón latió.,Semelfactive,0,0,0,1,0,0,simple,False
87,destellar,La luz destelló.,Semelfactive,0,0,0,1,0,0,simple,False
88,pitar,El árbitro pitó la falta.,Semelfactive,0,0,0,1,1,0,simple,False
89,disparar,La alarma se disparó.,Semelfactive,0,1,0,1,0,1,simple,False
90,picar,El mosquito picó.,Semelfactive,0,1,0,1,0,0,simple,False
91,chocar,El coche chocó.,Achievement,0,0,1,1,0,0,simple,False
92,aparecer,El fantasma se apareció.,Accomplishment,0,0,1,0,1,0,simple,False
93,desaparecer,La mancha desapareció.,Accomplishment,0,0,1,0,1,0,simple,False
94,abrir,La puerta se abrió.,Achievement,0,0,1,1,1,1,simple,False
95,cerrar,La puerta se cerró.,Achievement,0,0,1,1,1,1,simple,False
96,aterrizar,El avión aterrizó.,Achievement,0,0,1,1,0,0,simple,False
97,despegar,El avión despegó.,Achievement,0,0,1,1,0,0,simple,False
98,arrancar,Juan arrancó el motor.,Achievement,0,0,1,1,1,0,simple,False
99,detenerse,El tren se detuvo.,Achievement,0,0,1,1,0,1,simple,False
100,fallecer,El abuelo falleció.,Achievement,0,0,1,1,0,0,simple,False
101,vencer,Juan venció.,Achievement,0,0,1,1,0,0,simple,False
102,fracasar,Juan fracasó.,Achievement,0,0,1,1,0,0,simple,False
103,alcanzar,Juan alcanzó la cima.,Achievement,0,0,1,1,0,0,simple,False
104,lograr,El plan se logró.,Achievement,0,0,1,1,0,1,simple,False
105,conseguir,Juan consiguió el empleo.,Achievement,0,0,1,1,1,0,simple,False
106,obtener,Juan obtuvo el premio.,Achievement,0,0,1,1,0,0,simple,False
107,recibir,Juan recibió la carta.,Achievement,0,0,1,1,0,0,simple,False
108,ceder,La cuerda cedió.,Achievement,0,0,1,1,1,1,simple,False
109,rendirse,El soldado se rindió.,Achievement,0,0,1,1,0,1,simple,False
110,explotar,La bomba explotó.,Achievement,0,0,1,1,0,0,simple,False
111,hundirse,El barco se hundió.,Achievement,0,0,1,1,0,0,simple,False
112,derrumbarse,El edificio se derrumbó.,Achievement,0,0,1,1,0,1,simple,False
113,encenderse,La luz se encendió.,Achievement,0,0,1,1,1,1,simple,False
114,apagarse,La luz se apagó.,Achievement,0,0,1,1,1,1,simple,False
115,pestañear,Juan pestañeó.,Semelfactive,0,1,0,1,0,0,simple,False
116,bostezar,Juan bostezó.,Semelfactive,0,1,0,1,0,0,simple,False
117,jadear,Juan jadeó.,Semelfactive,0,1,0,1,0,0,simple,False
118,sacudir,El perro se sacudió.,Semelfactive,0,1,0,1,1,1,simple,False
119,agitar,El pájaro se agitó.,Semelfactive,0,1,0,1,1,1,simple,False
120,chasquear,Juan chasqueó los dedos.,Semelfactive,0,1,0,1,0,1,simple,False
121,silbar,Juan silbó.,Semelfactive,0,1,0,1,0,0,simple,False
122,asentir,Juan asintió.,Semelfactive,0,1,0,1,0,0,simple,False
123,aullar,El lobo aulló.,Semelfactive,0,1,0,1,0,0,simple,False
124,maullar,El gato maulló.,Semelfactive,0,1,0,1,0,0,simple,False
125,rebotar,La pelota rebotó.,Semelfactive,0,1,0,1,1,0,simple,False
126,construir,Juan construyó la casa.,Active_Accomplishment,0,1,1,0,1,0,multiword,False
127,pintar,Juan pintó el cuadro.,Active_Accomplishment,0,1,1,0,1,0,multiword,False
128,hornear,Juan horneó el pan.,Active_Accomplishment,0,1,1,0,1,0,multiword,False
129,tejer,Juan tejió la bufanda.,Active_Accomplishment,0,1,1,0,1,0,multiword,False
130,diseñar,Juan diseñó el logotipo.,Active_Accomplishment,0,1,1,0,1,0,multiword,False
131,componer,Juan compuso la canción.,Active_Accomplishment,0,1,1,0,1,0,multiword,False
132,traducir,Juan tradujo el documento.,Active_Accomplishment,0,1,1,0,1,0,multiword,False
133,resolver,Juan resolvió el acertijo.,Active_Accomplishment,0,1,1,0,1,0,multiword,False
134,aprender,Juan aprendió el oficio.,Active_Accomplishment,0,1,1,0,1,0,multiword,False
135,memorizar,Juan memorizó el poema.,Active_Accomplishment,0,1,1,0,1,0,multiword,False
136,preparar,Juan preparó la cena.,Active_Accomplishment,0,1,1,0,1,0,multiword,False
137,reparar,Juan reparó el coche.,Active_Accomplishment,0,1,1,0,1,0,multiword,False
138,limpiar,Juan limpió ventanas.,Activity,0,1,0,0,1,0,simple,False
139,organizar,Juan organizó el evento.,Accomplishment,0,0,1,0,1,0,simple,False
140,demoler,Juan demolió el muro.,Active_Accomplishment,0,1,1,0,1,0,multiword,False
141,convencer,Juan convenció a su amigo.,Achievement,0,0,1,1,1,0,simple,False
142,curar,El médico curó al paciente.,Accomplishment,0,0,1,0,1,0,simple,False
143,restaurar,Juan restauró la iglesia.,Accomplishment,0,0,1,0,1,0,simple,False
144,reformar,Juan reformó la cocina.,Accomplishment,0,0,1,0,1,0,simple,False
145,elaborar,Juan elaboró el informe.,Active_Accomplishment,0,1,1,0,1,0,multiword,False
146,fabricar,Juan fabricó la pieza.,Active_Accomplishment,0,1,1,0,1,0,multiword,False
147,producir,Juan produjo la película.,Accomplishment,0,0,1,0,1,0,simple,False
148,desarrollar,Juan desarrolló el programa.,Accomplishment,0,0,1,0,1,0,simple,False
149,redactar,Juan redactó el contrato.,Active_Accomplishment,0,1,1,0,1,0,multiword,False
150,calcular,Juan calculó el presupuesto.,Accomplishment,0,0,1,0,1,0,simple,False
151,planificar,Juan planificó el viaje.,Accomplishment,0,0,1,0,1,0,simple,False
152,ensamblar,Juan ensambló la máquina.,Active_Accomplishment,0,1,1,0,1,0,multiword,False
153,fundar,Juan fundó la empresa.,Accomplishment,0,0,1,0,1,0,simple,False
154,establecer,Juan estableció las reglas.,Accomplishment,0,0,1,0,1,0,simple,False
155,erradicar,Juan erradicó la enfermedad.,Accomplishment,0,0,1,0,1,0,simple,False
156,sanar,El médico sanó al paciente.,Accomplishment,0,0,1,0,1,0,simple,False
157,cicatrizar,La herida cicatrizó.,Accomplishment,0,0,1,0,0,0,simple,False
158,madurar,La fruta maduró.,Accomplishment,0,0,1,0,0,0,simple,False
159,fermentar,El vino fermentó.,Accomplishment,0,0,1,0,0,0,simple,False
160,hipar,Juan hipó.,Semelfactive,0,1,0,1,0,0,multiword,False
161,negar,Juan negó con la cabeza.,Semelfactive,0,1,0,1,0,1,multiword,False
162,correr,Juan corrió cinco kilómetros.,Active_Accomplishment,0,1,1,0,1,0,multiword,False
163,leer,Juan leyó el libro.,Active_Accomplishment,0,1,1,0,1,0,multiword,False
164,comer,Juan comió la sopa.,Active_Accomplishment,0,1,1,0,1,0,multiword,False
165,beber,Juan bebió el vaso.,Active_Accomplishment,0,1,1,0,1,0,multiword,False
166,dibujar,Juan dibujó el mapa.,Active_Accomplishment,0,1,1,0,1,0,multiword,False
167,cruzar,Juan cruzó el río.,Active_Accomplishment,0,1,1,0,1,0,multiword,False
168,escalar,Juan escaló el cerro.,Active_Accomplishment,0,1,1,0,1,0,multiword,False
169,cocinar,Juan cocinó el arroz.,Active_Accomplishment,0,1,1,0,1,0,multiword,False
170,buscar,Juan buscó las llaves.,Activity,0,1,0,0,1,0,multiword,False
171,traducir,Juan tradujo el texto.,Active_Accomplishment,0,1,1,0,1,0,multiword,False
172,limpiar,Juan limpió la casa.,Active_Accomplishment,0,1,1,0,1,0,multiword,False
173,escribir,Juan escribió la carta.,Active_Accomplishment,0,1,1,0,1,0,multiword,False
174,hacer,Juan hizo la tarea.,Active_Accomplishment,0,1,1,0,1,0,multiword,False
175,pintar,Juan pintó la barda.,Active_Accomplishment,0,1,1,0,1,0,multiword,False
176,construir,Juan construyó el muro.,Active_Accomplishment,0,1,1,0,1,0,multiword,False
177,armar,Juan armó el mueble.,Active_Accomplishment,0,1,1,0,1,0,multiword,False
178,plantar,Juan plantó el árbol.,Active_Accomplishment,0,1,1,0,1,0,multiword,False
179,consumir,Juan consumió el tanque.,Active_Accomplishment,0,1,1,0,1,0,multiword,False
180,recorrer,Juan recorrió el camino.,Active_Accomplishment,0,1,1,0,1,0,multiword,False
181,terminar,Juan terminó el proyecto.,Achievement,0,0,1,1,1,0,multiword,False
182,vaciar,Juan vació la botella.,Active_Accomplishment,0,1,1,0,1,0,multiword,False
183,llenar,Juan llenó el formulario.,Active_Accomplishment,0,1,1,0,1,0,multiword,False
184,agotar,Juan agotó las reservas.,Active_Accomplishment,0,1,1,0,1,0,multiword,False
185,revisar,Juan revisó el documento.,Active_Accomplishment,0,1,1,0,1,0,multiword,False
186,demoler,Juan demolió el edificio.,Active_Accomplishment,0,1,1,0,1,0,multiword,False
187,recorrer,Juan recorrió la ciudad.,Active_Accomplishment,0,1,1,0,1,0,multiword,False
188,aprender,Juan aprendió la lección.,Active_Accomplishment,0,1,1,0,1,0,multiword,False
189,ganar,Juan ganó el partido.,Achievement,0,0,1,1,1,0,multiword,False
190,resolver,Juan resolvió el problema.,Active_Accomplishment,0,1,1,0,1,0,multiword,False
191,completar,Juan completó el curso.,Active_Accomplishment,0,1,1,0,1,0,multiword,False
192,cubrir,Juan cubrió la distancia.,Active_Accomplishment,0,1,1,0,1,0,multiword,False
193,agotar,Juan agotó el tiempo.,Active_Accomplishment,0,1,1,0,1,0,multiword,False
194,comer,Juan comió sopa.,Activity,0,1,0,0,1,0,augment_od,False
195,beber,Juan bebió agua.,Activity,0,1,0,0,1,0,augment_od,False
196,cocinar,Juan cocinó.,Activity,0,1,0,0,0,0,augment_od,False
197,dibujar,Juan dibujó paisajes.,Activity,0,1,0,0,1,0,augment_od,False
198,cantar,Juan cantó el himno.,Active_Accomplishment,0,1,1,0,1,0,augment_od,False
199,nadar,Juan nadó dos kilómetros.,Active_Accomplishment,0,1,1,0,1,0,augment_od,False
200,caminar,Juan caminó diez kilómetros.,Active_Accomplishment,0,1,1,0,1,0,augment_od,False
201,patear,Juan pateó el balón.,Semelfactive,0,0.5,0,1,1,0,augment_semilla,False
202,aplaudir,Juan aplaudió.,Activity,0,1,0,0,0,0,augment_semilla,False
203,guiñar,Juan guiñó un ojo.,Semelfactive,0,0.5,0,1,1,0,augment_semilla,False
204,palmear,Juan palmeó la mesa.,Semelfactive,0,0.5,0,1,1,0,augment_semilla,False
205,tamborilear,Juan tamborileó en la mesa.,Semelfactive,0,0.5,0,1,0,0,augment_semilla,False
206,repicar,La campana repicó.,Semelfactive,0,0,0,1,0,0,augment_semilla,False
207,suspirar,Juan suspiró.,Semelfactive,0,0,0,1,0,0,augment_semilla,False
208,escupir,Juan escupió.,Semelfactive,0,0.5,0,1,0,0,augment_semilla,False
209,soplar,Juan sopló.,Activity,0,1,0,0,0,0,augment_semilla,False
210,pellizcar,Juan pellizcó a su hermano.,Semelfactive,0,0.5,0,1,1,0,augment_semilla,False
211,vislumbrar,Juan vislumbró la costa.,Semelfactive,0,0,0,1,1,0,augment_semilla,False
212,crujir,La rama crujió.,Semelfactive,0,0,0,1,0,0,augment_semilla,False
213,chirriar,La puerta chirrió.,Activity,0,1,0,0,0,0,augment_semilla,False
214,cabecear,Juan cabeceó.,Semelfactive,0,0.5,0,1,0,0,augment_semilla,False
215,resoplar,Juan resopló.,Semelfactive,0,0,0,1,0,0,augment_semilla,False
216,eructar,Juan eructó.,Semelfactive,0,0,0,1,0,0,augment_semilla,False
217,derretirse,El hielo se derritió.,Accomplishment,0,0.5,1,0,0,1,augment_semilla,False
218,congelarse,El agua se congeló.,Accomplishment,0,0.5,1,0,0,1,augment_semilla,False
219,evaporarse,El agua se evaporó.,Accomplishment,0,0.5,1,0,0,1,augment_semilla,False
220,oxidarse,El metal se oxidó.,Accomplishment,0,0.5,1,0,0,1,augment_semilla,False
221,disolverse,El azúcar se disolvió.,Accomplishment,0,0.5,1,0,0,1,augment_semilla,False
222,marchitarse,La flor se marchitó.,Accomplishment,0,0.5,1,0,0,1,augment_semilla,False
223,agrietarse,El muro se agrietó.,Achievement,0,0,1,1,0,1,augment_semilla,False
224,quebrarse,La rama se quebró.,Achievement,0,0,1,1,0,1,augment_semilla,False
225,desplomarse,El puente se desplomó.,Achievement,0,0,1,1,0,1,augment_semilla,False
226,volcarse,El camión se volcó.,Achievement,0,0,1,1,0,1,augment_semilla,False
227,reventar,El globo reventó.,Achievement,0,0,1,1,0,0,augment_semilla,False
228,correr,Juan corre.,Activity,0,1,0,0,0,0,augment_presente,False
229,nadar,Los atletas nadan en el río.,Activity,0,1,0,0,0,0,augment_presente,True
230,hablar,Juan habla.,Activity,0,1,0,0,0,0,augment_presente,False
231,caminar,Juan camina.,Activity,0,1,0,0,0,0,augment_presente,False
232,respirar,Juan respira.,Activity,0,1,0,0,0,0,augment_presente,False
233,trabajar,Juan trabaja.,Activity,0,1,0,0,0,0,augment_presente,False
234,estudiar,Juan estudia matemáticas.,Activity,0,1,0,0,1,0,augment_presente,False
235,jugar,Juan juega.,Activity,0,1,0,0,0,0,augment_presente,False
236,escuchar,Juan escucha música.,Activity,0,1,0,0,1,0,augment_presente,False
237,llorar,Juan llora.,Activity,0,1,0,0,0,0,augment_presente,False
238,volar,El pájaro vuela.,Activity,0,1,0,0,0,0,augment_presente,False
239,brillar,La estrella brilla.,Activity,0,1,0,0,0,0,augment_presente,False
240,fluir,El río fluye.,Activity,0,1,0,0,0,0,augment_presente,False
241,dormir,Juan duerme.,Activity,0,1,0,0,0,0,augment_presente,False
242,mirar,Juan mira el paisaje.,Activity,0,1,0,0,1,0,augment_presente,False
243,buscar,Juan busca trabajo.,Activity,0,1,0,0,1,0,augment_presente,False
244,bailar,Juan baila.,Activity,0,1,0,0,0,0,augment_presente,False
245,cantar,Juan canta canciones.,Activity,0,1,0,0,1,0,augment_presente,False
246,leer,Juan lee novelas.,Activity,0,1,0,0,1,0,augment_presente,False
247,escribir,Juan escribe cartas.,Activity,0,1,0,0,1,0,augment_presente,False
248,escribir,Juan escribe la novela.,Accomplishment,0,0,1,0,1,0,augment_presente,False
249,pedalear,Juan pedalea con fuerza.,Activity,0,1,0,0,0,0,augment_presente,False
250,rodar,La pelota rueda cuesta abajo.,Activity,0,1,0,0,0,0,augment_presente,False
251,temblar,El suelo tiembla.,Activity,0,1,0,0,0,0,augment_presente,False
252,vibrar,El teléfono vibra.,Activity,0,1,0,0,0,0,augment_presente,False
253,ronronear,El gato ronronea suavemente.,Activity,0,1,0,0,0,0,augment_presente,False
254,rugir,El león siempre ruge con fuerza.,Activity,0,1,0,0,0,0,augment_presente,False
255,susurrar,Juan susurra secretos.,Activity,0,1,0,0,1,0,augment_presente,False
256,gotear,El grifo gotea.,Activity,0,1,0,0,0,0,augment_presente,False
257,escalar,Juan escala montañas cada verano.,Activity,0,1,0,0,1,0,augment_presente,False
258,navegar,Juan navega.,Activity,0,1,0,0,0,0,augment_presente,False
259,vagar,Juan vaga por la ciudad.,Activity,0,1,0,0,0,0,augment_presente,False
260,merodear,Juan merodea.,Activity,0,1,0,0,0,0,augment_presente,False
261,llegar,Juan llega.,Achievement,0,0,1,1,1,1,augment_presente,False
262,morir,El abuelo se muere.,Achievement,0,0,1,1,0,1,augment_presente,False
263,nacer,El bebé nace.,Achievement,0,0,1,1,0,0,augment_presente,False
264,encontrar,Juan se encuentra una moneda.,Achievement,0,0,1,1,1,1,augment_presente,False
265,perder,Juan se pierde.,Achievement,0,0,1,1,1,1,augment_presente,False
266,ganar,Juan gana el premio.,Achievement,0,0,1,1,1,0,augment_presente,False
267,romper,El vaso se rompe.,Achievement,0,0,1,1,1,1,augment_presente,False
268,reconocer,Juan reconoce el error.,Achievement,0,0,1,1,0,0,augment_presente,False
269,descubrir,Juan descubre el secreto.,Achievement,0,0,1,1,1,0,augment_presente,False
270,despertar,Juan se despierta.,Achievement,0,0,1,1,0,1,augment_presente,False
271,caer,Juan se cae.,Achievement,0,0,1,1,1,1,augment_presente,False
272,salir,Juan sale.,Achievement,0,0,1,1,0,0,augment_presente,False
273,entrar,Juan entra.,Achievement,0,0,1,1,0,0,augment_presente,False
274,terminar,Juan termina el trabajo.,Achievement,0,0,1,1,1,0,augment_presente,False
275,empezar,Juan empieza el discurso.,Achievement,0,0,1,1,1,0,augment_presente,False
276,estallar,La bomba estalla.,Achievement,0,0,1,1,0,0,augment_presente,False
277,estornudar,Juan estornuda.,Semelfactive,0,0,0,1,0,0,augment_presente,False
278,toser,Juan tose.,Semelfactive,0,0,0,1,0,0,augment_presente,False
279,parpadear,Juan parpadea.,Semelfactive,0,0,0,1,0,0,augment_presente,False
280,golpear,Juan golpea la mesa.,Semelfactive,0,1,0,1,1,0,augment_presente,False
281,saltar,Juan salta la valla.,Semelfactive,0,1,0,1,1,0,augment_presente,False
282,tocar,Juan toca el timbre.,Semelfactive,0,0,0,1,1,0,augment_presente,False
283,gritar,Juan grita.,Semelfactive,0,0,0,1,0,0,augment_presente,False
284,latir,El corazón late con fuerza.,Semelfactive,0,0,0,1,0,0,augment_presente,False
285,destellar,La luz destella.,Semelfactive,0,0,0,1,0,0,augment_presente,False
286,pitar,El árbitro pita la falta.,Semelfactive,0,0,0,1,1,0,augment_presente,False
287,disparar,La alarma se dispara.,Semelfactive,0,1,0,1,0,1,augment_presente,False
288,picar,El mosquito siempre pica de noche.,Semelfactive,0,1,0,1,0,0,augment_presente,False
289,chocar,El coche choca.,Achievement,0,0,1,1,0,0,augment_presente,False
290,aparecer,El fantasma se aparece.,Accomplishment,0,0,1,0,1,0,augment_presente,False
291,desaparecer,La mancha desaparece.,Accomplishment,0,0,1,0,1,0,augment_presente,False
292,abrir,La puerta se abre.,Achievement,0,0,1,1,1,1,augment_presente,False
293,cerrar,La puerta se cierra.,Achievement,0,0,1,1,1,1,augment_presente,False
294,aterrizar,El avión aterriza.,Achievement,0,0,1,1,0,0,augment_presente,False
295,despegar,El avión despega.,Achievement,0,0,1,1,0,0,augment_presente,False
296,arrancar,Juan arranca el motor.,Achievement,0,0,1,1,1,0,augment_presente,False
297,detenerse,El tren se detiene.,Achievement,0,0,1,1,0,1,augment_presente,False
298,fallecer,El abuelo fallece.,Achievement,0,0,1,1,0,0,augment_presente,False
299,vencer,Juan vence.,Achievement,0,0,1,1,0,0,augment_presente,False
300,fracasar,Juan fracasa.,Achievement,0,0,1,1,0,0,augment_presente,False
301,alcanzar,Juan alcanza la cima.,Achievement,0,0,1,1,0,0,augment_presente,False
302,lograr,El plan se logra.,Achievement,0,0,1,1,0,1,augment_presente,False
303,conseguir,Juan consigue el empleo.,Achievement,0,0,1,1,1,0,augment_presente,False
304,obtener,Juan obtiene el premio.,Achievement,0,0,1,1,0,0,augment_presente,False
305,recibir,Juan recibe la carta.,Achievement,0,0,1,1,0,0,augment_presente,False
306,ceder,La cuerda cede.,Achievement,0,0,1,1,1,1,augment_presente,False
307,rendirse,El soldado se rinde.,Achievement,0,0,1,1,0,1,augment_presente,False
308,explotar,La bomba explota.,Achievement,0,0,1,1,0,0,augment_presente,False
309,hundirse,El barco se hunde.,Achievement,0,0,1,1,0,0,augment_presente,False
310,derrumbarse,El edificio se derrumba.,Achievement,0,0,1,1,0,1,augment_presente,False
311,encenderse,La luz se enciende.,Achievement,0,0,1,1,1,1,augment_presente,False
312,apagarse,La luz se apaga.,Achievement,0,0,1,1,1,1,augment_presente,False
313,pestañear,Juan pestañea.,Semelfactive,0,1,0,1,0,0,augment_presente,False
314,bostezar,Juan siempre bosteza de sueño.,Semelfactive,0,1,0,1,0,0,augment_presente,False
315,jadear,Juan jadea tras la carrera.,Semelfactive,0,1,0,1,0,0,augment_presente,False
316,sacudir,El perro se sacude.,Semelfactive,0,1,0,1,1,1,augment_presente,False
317,agitar,El pájaro se agita.,Semelfactive,0,1,0,1,1,1,augment_presente,False
318,chasquear,Juan chasquea los dedos.,Semelfactive,0,1,0,1,0,1,augment_presente,False
319,silbar,Juan silba.,Semelfactive,0,1,0,1,0,0,augment_presente,False
320,asentir,Juan asiente.,Semelfactive,0,1,0,1,0,0,augment_presente,False
321,aullar,El lobo aúlla.,Semelfactive,0,1,0,1,0,0,augment_presente,False
322,maullar,Los gatos maúllan por la noche.,Semelfactive,0,1,0,1,0,0,augment_presente,False
323,rebotar,La pelota rebota.,Semelfactive,0,1,0,1,1,0,augment_presente,False
324,construir,Juan construye la casa.,Active_Accomplishment,0,1,1,0,1,0,augment_presente,False
325,pintar,Juan pinta el cuadro.,Active_Accomplishment,0,1,1,0,1,0,augment_presente,False
326,hornear,Juan hornea el pan.,Active_Accomplishment,0,1,1,0,1,0,augment_presente,False
327,tejer,Juan teje la bufanda.,Active_Accomplishment,0,1,1,0,1,0,augment_presente,False
328,diseñar,Juan diseña el logotipo.,Active_Accomplishment,0,1,1,0,1,0,augment_presente,False
329,componer,Juan compone la canción.,Active_Accomplishment,0,1,1,0,1,0,augment_presente,False
330,traducir,Juan traduce el documento.,Active_Accomplishment,0,1,1,0,1,0,augment_presente,False
331,resolver,Juan resuelve el acertijo.,Active_Accomplishment,0,1,1,0,1,0,augment_presente,False
332,aprender,Juan aprende el oficio.,Active_Accomplishment,0,1,1,0,1,0,augment_presente,False
333,memorizar,Juan memoriza el poema.,Active_Accomplishment,0,1,1,0,1,0,augment_presente,False
334,preparar,Juan prepara la cena.,Active_Accomplishment,0,1,1,0,1,0,augment_presente,False
335,reparar,Juan repara el coche.,Active_Accomplishment,0,1,1,0,1,0,augment_presente,False
336,limpiar,Cada sábado Juan limpia ventanas.,Activity,0,1,0,0,1,0,augment_presente,False
